"ID","Type","Name","Documentation"
"FinancieringsstroomWlz","BusinessObject","FinancieringsstroomWlz",""
"FinancieringsstroomWmo","BusinessObject","FinancieringsstroomWmo",""
"FinancieringsstroomZorg","BusinessObject","FinancieringsstroomZorg",""
"FinancieringsstroomZvw","BusinessObject","FinancieringsstroomZvw",""
"Grootboek","BusinessObject","Grootboek",""
"Grootboekpost","BusinessObject","Grootboekpost",""
"Grootboekrekening","BusinessObject","Grootboekrekening",""
"Grootboekrekeningnummer","BusinessObject","Grootboekrekeningnummer",""
"Grootboekrekeningschema","BusinessObject","Grootboekrekeningschema",""
"Grootboekrubriek","BusinessObject","Grootboekrubriek",""
"Kostendrager","BusinessObject","Kostendrager",""
"Kostendragernummer","BusinessObject","Kostendragernummer",""
"Kostenplaats","BusinessObject","Kostenplaats",""
"Kostenplaatsnummer","BusinessObject","Kostenplaatsnummer",""
"FinancialAdministrativeObject","BusinessObject","FinancialAdministrativeObject",""
"FinancialEntity","BusinessObject","FinancialEntity",""
"FinancialInformationObject","BusinessObject","FinancialInformationObject",""
"IdentifierInformationObject","BusinessObject","IdentifierInformationObject",""
"List","BusinessObject","List",""
