"ID","Type","Name","Documentation"
"ZorgverlenerFunctie","BusinessObject","Zorgverlener (functie)","core#definition: Zorgverlener (functie) is een verzamelbegrip van alle functies (zoals omschreven in een werkovereenkomst) die geclassificeerd kunnen worden als een zorgverlenende functie. 
Met ander woorden: de persoon die een dergelijke functie uitoefent wordt geacht tenminste gedeeltelijk als taak te hebben beroepsmatig zorg te verlenen.
Dit begrip behoeft nadere definitie."
"Agreement","BusinessObject","Overeenkomst",""
"Description","BusinessObject","Beschrijving",""
"EducationalLevelValue","BusinessObject","Opleidingskwalificatiewaarde",""
"OccupationalPositionRole","BusinessObject","Functie","core#definition: De functie zoals omschreven in een werkovereenkomst, welke indicatief is voor het soort werk dat verricht wordt in het kader van die overeenkomst."
"QualificationLevelQuality","BusinessObject","Kwalificatieniveau",""
"Quality","BusinessObject","Kwaliteit",""
"QualityValue","BusinessObject","Kwaliteitswaarde",""
"UnitOfWorkload","BusinessObject","Eenheid van werkomvang",""
"AOPercentage","BusinessObject","Arbeidsongeschiktheidspercentage","core#definition: Het arbeidsongeschiktheidspercentage drukt de mate van arbeidsongeschiktheid uit in een percentage (waarde van 0 to 100 procent). Het geeft aan in welke mate iemand in staat is de werkzaamheden te verrichten waarvoor een werkovereenkomst is gesloten."
"ArbeidsOngeschiktheid","BusinessObject","Arbeidsongeschiktheid","onz-g#editorNote: Arbeidsongeschiktheid wordt altijd bepaald door de combinatie van de fysieke en/om mentale toestand van een persoon en de vereisten van bepaalde werkzaamheden. Een persoon is dus altijd in zekere mate arbeidsongeschikt voor specifieke werkzaamheden.
De arbeidsongeschiktheid wordt uitgedrukt in een percentage en krijgt dus een waarde voor hasDataValue groter dan 0 [procent] en niet groter dan 100 [procent].

core#definition: Onder arbeidsongeschiktheid wordt verstaan het niet in staat worden geacht arbeid te verrichten met een erkende economische meerwaarde. Dat men geheel of gedeeltelijk arbeidsongeschikt is, kan een lichamelijke of psychische oorzaak hebben."
"ArbeidsOvereenkomst","BusinessObject","Arbeidsovereenkomst","onz-g#editorNote: Art. 7:610a BW geeft een rechtsvermoeden weer: Hij die ten behoeve van een ander tegen beloning door die ander gedurende 3 opvolgende maanden, wekelijks dan wel gedurende ten minste twintig uren per maand arbeid verricht, wordt vermoed deze arbeid te verrichten krachtens een arbeidsovereenkomst. Het gaat hier dus om een vermoeden. Dit betekent dat de werkgever tegenbewijs kan leveren dat hier geen sprake van is.	Inhoud arbeidsovereenkomst
Uw werkgever moet u binnen 1 maand na uw indiensttreding een aantal gegevens schriftelijk laten weten. Deze gegevens zijn onder andere:

* de naam en woonplaats van u en uw werkgever;
* de plaats of plaatsen waar u werkt;
* uw functie of het soort werk dat u doet;
* de datum van indiensttreding;
* de duur van het contract (bij een tijdelijk contract);
* hoeveel uur u werkt (per dag of per week);
* de hoogte van uw salaris en wanneer dit wordt uitbetaald;
* (eventueel) de lengte van uw proeftijd;
* de hoogte van de vakantietoeslag;
* het aantal vakantiedagen;
* de duur van de opzegtermijn;
* (eventueel) uw pensioenregeling;
* (eventueel) uw concurrentiebeding;
* uw collectieve arbeidsovereenkomst (cao) als die van toepassing is.

rdf-schema#isDefinedBy: https://www.rijksoverheid.nl/onderwerpen/arbeidsovereenkomst-en-cao/vraag-en-antwoord/wat-staat-er-in-een-arbeidsovereenkomst

core#definition: Een arbeidsovereenkomst is een overeenkomst waarbij de ene partij, de werknemer, in dienst van een andere partij, de werkgever, tegen betaling van loon arbeid verricht. Een arbeidsovereenkomst kan zowel voor bepaalde als voor onbepaalde tijd worden gesloten.

Er is sprake van een arbeidsovereenkomst als aan een drietal voorwaarden is voldaan:
* Er is sprake van het verrichten van ‘arbeid’;
* Voor de verrichte arbeid wordt ‘loon’ betaald;
* Er is een zekere ‘gezagsverhouding’ tussen werkgever en werknemer."
"ArbeidsOvereenkomstBBL","BusinessObject","Arbeidsovereenkomst beroeps begeleidende leerweg","rdf-schema#isDefinedBy: https://nl.hellolaw.com/juridisch-nieuws/wat-je-moet-weten-over-het-bbl-contract

core#definition: Een arbeidsovereenkomst met een BBL-leerling. Deze wijkt wettellijk gezien af van een arbeidsovereenkomst doordat de ketenregeling niet van toepassing is. Daarnaast is er een afwijking in de bepaling van de transitievergoeding.
Er is veel te vinden over BBL, maar wettelijke basis is nog niet gevonden."
"ArbeidsOvereenkomstBepaaldeTijd","BusinessObject","Arbeidsovereenkomst bepaalde tijd","rdf-schema#isDefinedBy: https://wetten.overheid.nl/BWBR0005290/2020-09-01#Boek7_Titeldeel10_Afdeling9_Artikel667

core#definition: Een arbeidsovereenkomst waarbij op het moment van aangaan van de overeenkomst het moment wordt overeengekomen waarop de overeenkomst eindigt."
