Entity,Superclass(es),http://purl.org/ozo/onz-g#definitionSource,http://purl.org/ozo/onz-g#editorNote,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2004/02/skos/core#closeMatch,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2004/02/skos/core#exactMatch,
http://www.w3.org/2002/07/owl#Thing,,,,,,,,,
http://purl.org/ozo/onz-g#AbnormalOrganicMorphologyQuality,http://purl.org/ozo/onz-g#BiologicalQuality,,,"'Note that AbnormalOrganicMorphology includes subclasses (e.g. onz-g:Wound) that intuitively may seem to be a CorpuscularObject or OrganicObject. Note however that  Wound is a condition that inheres in some Human and denotes the absence of or damage to some tissue. As such, it can not be an Object.'","'AbnormaleMorfologischeEigenschap'",,"'Editorial: AbnormalOrganicMorphologyQuality is BiologicalQuality which may inhere in some Organism as a result of e.g. some InjuringEvent, PathologicalProcess or the existence of some DiseaseOrSyndrome in that Organism.'","'http://purl.bioontology.org/ontology/SNOMEDCT/49755003'",
http://purl.org/ozo/onz-g#AbstractParticular,http://purl.org/ozo/onz-g#Particular,,,"'As an example: the idea of the number *14* is an AbstractParticular that has no inherent attributes that extend in time or space. Note however that '14' can be a specific value of some attribute at some time, meaning that the idea of *14* is 'materialized'.'","'AbstractParticular'	'AbstracteEntiteit'","'http://purl.org/nemo/gufo#AbstractIndividual'	'http://www.ontologyportal.org/translations/SUMO.owl.txt#Abstract'","'DOLCE: The main characteristic of abstract entities is that they do not have spatial nor temporal qualities, and they are not qualities themselves.'","'http://www.loa-cnr.it/ontologies/DOLCE-Lite.owl#abstract'",
http://purl.org/ozo/onz-g#AbstractQuality,http://purl.org/ozo/onz-g#Quality,,,"'Specific qualities for modeling subjective assessment will be modeled in a later phase; note however that a set of corresponding onz-g:SubjectiveValues is already incorporated (see:onz-g:AbstractValue and subclasses).'	'Note that Qualities may also inhere in other Qualities. For instance, if John has a PressureUlcer (a BiologicalQuality), then some additional quality such as onz-g:MedicalRatingQuality can be used to indicate the stage or severity of the ulcer according to some onz-g:MedicalClassificationSystem.'","'AbstracteEigenschap'",,"'Editorial: AbstractQuality is a Quality that inheres in NonPhysicaEndurants and other Qualities.'","'http://www.loa-cnr.it/ontologies/DOLCE-Lite.owl#abstract-quality'",
http://purl.org/ozo/onz-g#AbstractRole,http://purl.org/ozo/onz-g#Role,"'Loebe, F. (2007). Abstract vs. social roles–Towards a general theoretical account of roles. Applied Ontology, 2(2), 127-158.'",,,"'AbstracteRol'",,"'Loebe (2007): Abstract roles can be functionally characterized in a uniform manner, namely as a mechanism of viewing some entity – namely the player – in a defined context, i.e., in a more complex entity with interrelated other “notional components”. Put differently, players of abstract roles are looked at in an external manner in contrast to viewing them as self-contained entities focusing on their internals like their properties or parts.'",,
http://purl.org/ozo/onz-g#AbstractValue,http://purl.org/ozo/onz-g#QualityValue,,,"'Instances of AbstractValue are atomic regions or qualia in some value space. Our conception of AbstractValue comes close to dul:AbstractRegion where the focus is on the region, not the qualia.

Due to this difference, we defined no mapping from this class to DOLCE.'","'AbstracteWaarde'",,"'Editorial: Instances of AbstractValue express values of abstract qualities such as EducationLevel, EmotionalState and SeverityOfMedicalCondition.'",,
http://purl.org/ozo/onz-g#AccomodativeObject,http://purl.org/ozo/onz-g#StationaryArtifact,,"'De BAG hierarchie voor Verblijfsobjecten kan hier desgewenst ingeplugd, behalve 'bag:ligplaats' en 'bag:staplaats'.

En dan iets als: 

Organization subclassOf *residesIn only AccomodativeObject 
(er zijn immers organisaties die NIET in een Verblijfsobject zitten)
AccomodativeObject  subclassOf *partOf some Building/Pand

waarbij:

StationaryArtifact subclassOf *hasPlace only LocalizablePlace
LocalizablePlace equivalentTo *hasIdentifier some LocalizablePlaceInformationObject'",,"'VerblijfsObject'",,"'Editorial: AccomodativeObject is a StationaryArtifact that is functionally independent, serves as accommodation for human activities and can be part of one or multiple Buildings.'","'http://bag.basisregistraties.overheid.nl/def/bag#Verblijfsobject'",
http://purl.org/ozo/onz-g#Account,http://purl.org/ozo/onz-g#Agreement,,,,"'Account'",,"'Editorial: Account is an Agreement that expresses some arrangement about  providing some service from one party to another, often but not necessarily in exchange for some compensation.'","'http://www.ontologyportal.org/translations/SUMO.owl.txt#Account'",
http://purl.org/ozo/onz-g#ActivitiesOfDailyLifeValue,http://purl.org/ozo/onz-g#BiologicalValue,,,"'For an extensive set of standardized and descriptive values such as 'does not shower self', 'difficulty feeding self', 'does perform dressing activity', we refer to SNOMED.

Alternatively, values as defined and standardized in the Barthel Index may be used. Note that this Barthel Index has been modeled as an instance of onz-g:MedicalClassificationSystem.'","'ADLWaarde'","'http://purl.bioontology.org/ontology/SNOMEDCT/118233009'","'Editorial: Instances of ActivitiesOfDailyLifeValue express whether and/or to what degree some Human is capable to execute actions associated with self care'",,
http://purl.org/ozo/onz-g#ActivitiesOfDailyLivingCapability,http://purl.org/ozo/onz-g#BiologicalQuality,,,"'Note that we do not model any specific capabilities associated with activities of daily living in onz-g. Instead, we refer to existing domain-specific sources for these, such as e.g. SNOMED, the Barthel Index and the Dutch ZIB. 

-Specific actions such as 'eating' and 'taking a shower' in the ZIB can be considered as subtypes of onz-g:ActivitiesOfDailyLivingCapabilities. The specific functional scores for these activities can be modeled as onz-g:ActivitiesOfDailyLivingValue using the quality region pattern.

-In SNOMED, a set of abilities related to daily living are best represented by  	'Activity of daily living' that refers not to actions but the capability to perform these actions. See the mapping for the URI.

-In SNOMED, a set of specific set of values are modeled as 
subclasses of 'Finding of functional performance and activity', and more specifically 'Finding of activity of daily living' e.g. 'able to feed self' and 'able to perform dressing activity'. These should be modeled as instances of onz-g:ActivitiesOfDailyLivingValue, NOT as subtypes of this class.

-The Barthel Index is modeled as an instance of onz-g:MedicalClassificationSystem.

see also: https://zibs.nl/wiki/BarthelIndex-v3.1(2020NL)#9228 and onz-g:ActivitiesOfDailyLivingValue.'","'VermogenTotUitvoerenVanZelfzorg'","'http://purl.bioontology.org/ontology/SNOMEDCT/129025006'","'Editorial: ActivitiesOfDailyLivingCapability is a BiologicalQuality that characterizes whether and/or to what degree some Human is capable to execute actions associated with self care and self sustenance such as 'taking medications' and 'brushing teeth'.'",,
